asdsrecsinmysizedev,ASOS Big Data,asds-recsinmysize-eun-rg-dev
asdsrecsinmysizeprod,AsosRecommendationsData,asds-recsinmysize-eun-rg-prod
asosdsmonitoringprod,AsosRecommendationsCompute,Asos-RG-DataScienceMonitoring-Prod-EUN
